,,,,,,,,,,Snow Depth  Measurements,,,,,,,,,,,,,,,,,,,,,,,,,
station & tank,Station,Tank,DeployYear,Tank liner,DeployOrder,X,Y,Z,,01-Jan-08,01-Jan-09,01-Jan-10,01-Feb-10,01-Dec-10,01-Feb-11,16-Nov-11,19-Feb-12,21-Oct-12,9-Jan-13,21-Feb-13,25-Oct-13,11-Dec-13,8-Mar-14,3-Nov-14,27-Feb-15,28-Oct-15,28-Dec-15,1-Apr-16,10-Oct-16,22-Dec-16,8-Mar-17,13-Nov-17,9-Mar-18,4-Nov-18,6-Mar-19
01A,1,A,2011,Zirco,76,-265.58,-497.61,1944.7,,-,-,-,-,-,0.077,0.287,0.327,0.467,0.437,0.437,0.727,0.757,0.767,0.907,0.967,1.187,1.237,1.227,1.427,1.437,1.467,1.697,1.721,1.949,1.924
01B,1,B,2011,Zirco,76,-255.76,-495.79,1944.75,,-,-,-,-,-,0.032,0.207,0.197,0.287,0.297,0.307,0.597,0.607,0.597,0.977,0.977,1.087,1.167,1.167,1.297,1.397,1.407,1.487,1.525,1.703,1.932
02A,2,A,2009,Zirco,55,-140.41,-477.48,1945.24,,-,-,0.01,-,0.042,0.011,0.043,0.053,0.253,0.243,0.233,0.603,0.603,0.673,0.653,0.693,0.763,0.783,0.803,0.923,0.933,0.993,1.053,1.069,1.247,1.247
02B,2,B,2009,Zirco,55,-130.66,-476.29,1945.22,,-,-,0.012,-,0.037,0.029,0.073,0.113,0.203,0.193,0.233,0.383,0.383,0.423,0.733,0.753,0.883,0.873,0.873,0.923,1.013,1.073,1.153,1.146,1.196,1.247
03A,3,A,2009,Zirco,56,-27.9,-464.26,1945.41,,-,-,0,-,0.033,0.004,0.029,0.069,0.239,0.209,0.239,0.319,0.349,0.399,0.499,0.579,0.679,0.829,0.819,0.979,1.009,1.019,1.149,1.223,1.477,1.452
03B,3,B,2009,Zirco,56,-20.55,-458.73,1945.28,,-,-,0,-,0.077,0.038,0.103,0.133,0.333,0.313,0.313,0.453,0.453,0.483,0.693,0.683,0.973,0.953,0.953,1.183,1.213,1.213,1.293,1.415,1.466,1.491
04A,4,A,2009,Zirco,51,105.6,-438.42,1945.15,,-,-,0.045,-,0.239,0.192,0.337,0.337,0.607,0.597,0.577,0.627,0.627,0.667,0.997,1.017,1.127,1.107,1.127,1.147,1.157,1.237,1.397,1.388,1.566,1.591
04B,4,B,2009,Zirco,51,115.2,-436.58,1945.38,,-,-,0,-,0.105,0.08,0.13,0.17,0.38,0.4,0.38,0.43,0.45,0.5,0.85,0.89,0.92,0.98,0.98,1.05,1.04,1.11,1.1,1.137,1.315,1.417
05A,5,A,2009,Zirco,52,214.5,-432.25,1945.32,,-,-,0.021,-,0.084,0.059,0.139,0.169,0.349,0.329,0.339,0.369,0.389,0.439,0.629,0.659,0.739,0.739,0.699,0.879,0.899,0.789,1.059,1.061,1.112,1.162
05B,5,B,2009,Zirco,52,219.66,-424.53,1945.46,,-,-,0,-,0.02,0,0.111,0.131,0.241,0.231,0.241,0.341,0.331,0.371,0.411,0.451,0.531,0.551,0.551,0.651,0.641,0.661,0.761,0.793,0.946,0.920
06A,6,A,2009,Zirco,41,356.6,-397.84,1946.38,,-,-,0.033,-,0.265,0.222,0.357,0.297,0.357,0.387,0.387,0.577,0.577,0.627,0.877,0.926,0.937,0.927,0.927,1.057,1.037,1.047,1.467,1.434,1.409,1.511
06B,6,B,2009,Zirco,41,366.21,-398.09,1946.44,,-,-,0.048,-,0.394,0.322,0.295,0.375,0.575,0.565,0.545,0.785,0.755,0.805,0.815,0.899,0.905,0.895,0.925,1.025,1.105,1.115,1.275,1.344,1.559,1.483
07A,7,A,2011,Zirco,77,-344.09,-400.19,1945.38,,-,-,-,-,-,-,0.19,0.07,0.08,0.12,0.13,0.3,0.31,0.38,0.69,0.655,0.85,0.86,0.89,1.18,1.16,1.21,1.28,1.341,1.646,1.621
07B,7,B,2011,Zirco,77,-334.37,-398.72,1945.13,,-,-,-,-,-,-,0.049,0.159,0.299,0.299,0.279,0.609,0.639,0.659,0.879,0.923,1.139,1.179,1.209,1.349,1.429,1.479,1.539,1.583,1.888,1.914
08A,8,A,2010,Zirco,60,-231.42,-389.04,1944.97,,-,-,-,-,0.173,0.133,0.466,0.466,0.806,0.826,0.786,0.966,0.856,0.996,1.276,1.288,1.546,1.516,1.506,1.686,1.676,1.706,1.736,1.783,2.025,2.075
08B,8,B,2010,Zirco,60,-224.38,-382.73,1945.05,,-,-,-,-,0.048,0.013,0.393,0.523,0.683,0.693,0.653,1.033,1.063,1.043,1.203,1.28,1.393,1.443,1.473,1.553,1.573,1.643,1.753,1.827,1.928,1.992
09A,9,A,2009,Zirco,57,-85.13,-359.45,1944.9,,-,-,0.104,-,0.13,0.08,0.248,0.278,0.378,0.318,0.418,0.618,0.618,0.618,0.648,0.703,0.798,0.818,0.868,0.908,0.908,1.038,1.108,1.084,1.262,1.262
09B,9,B,2009,Zirco,57,-75.99,-362.16,1945,,-,-,0.011,-,0.097,0.058,0.117,0.197,0.247,0.397,0.307,0.487,0.457,0.467,0.707,0.698,0.707,0.747,0.777,0.867,0.897,0.957,1.067,1.053,1.130,1.180
10A,10,A,2009,Zirco,50,25,-342.2,1944.97,,-,-,0.033,-,0.163,0.101,0.177,0.227,0.367,0.307,0.517,0.727,0.747,0.737,0.767,0.87,0.967,1.017,1.007,1.047,1.037,1.057,1.277,1.251,1.404,1.378
10B,10,B,2009,Zirco,50,34.44,-339.47,1945.07,,-,-,0.034,-,0.071,0.036,0.157,0.227,0.347,0.437,0.327,0.417,0.407,0.467,0.807,0.769,0.827,0.877,0.877,0.887,0.877,0.947,1.087,1.124,1.251,1.353
11A,11,A,2009,Zirco,53,135.26,-353.45,1945.3,,-,-,0.003,-,0.14,0.057,0.28,0.39,0.48,0.46,0.45,0.68,0.66,0.7,0.75,0.802,0.89,0.9,0.9,0.91,0.93,0.97,1.06,1.082,1.260,1.234
11B,11,B,2009,Zirco,53,133.94,-343.55,1945.28,,-,-,0.016,-,0.157,0,0.268,0.298,0.488,0.448,0.458,0.588,0.698,0.598,0.818,0.871,0.868,0.948,0.928,0.948,0.928,0.948,0.998,0.998,0.998,1.074
12A,12,A,2009,Zirco,42,279.12,-300.17,1945.34,,-,-,0,-,0.044,0,0.085,0.095,0.095,0.075,0.095,0.255,0.255,0.255,0.275,0.273,0.275,0.365,0.355,0.495,0.525,0.555,0.715,0.704,0.755,0.807
12B,12,B,2009,Zirco,42,288.77,-301.22,1945.43,,-,-,0,-,0.024,0,0.063,0.073,0.073,0.073,0.073,0.103,0.153,0.193,0.273,0.379,0.383,0.413,0.413,0.503,0.503,0.643,0.703,0.735,0.786,0.938
13A,13,A,2009,Zirco,46,385.92,-290.1,1946.33,,-,-,0.221,-,0.326,0.301,0.51,0.57,0.71,0.71,0.7,0.93,0.98,1.01,1.23,1.196,1.26,1.32,1.34,1.6,1.57,1.59,1.87,1.895,1.996,2.301
