2010-01-01 00:00:00
01A -99.999
01B -99.999
02A   0.022
02B   0.086
03A   0.001
03B   0.104
04A   0.037
04B   0.000
05A   0.016
05B   0.104
06A   0.026
06B   0.078
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.121
09B   0.028
10A   0.116
10B   0.128
11A   0.000
11B   0.030
12A   0.067
12B   0.044
13A   0.335
13B   0.239
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.097
18A   0.193
18B   0.091
19A   0.028
19B   0.082
20A   0.054
20B   0.084
21A   1.328
21B   1.262
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.345
26B   0.108
27A   0.086
27B   0.115
28A   0.000
28B   0.000
29A   1.691
29B   1.335
30A   0.887
30B   0.999
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.035
36B   0.032
37A   0.049
37B   0.074
38A   1.192
38B   0.858
39A   1.042
39B   0.820
40A   0.974
40B   0.942
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.407
44B   0.215
45A   0.900
45B   0.610
46A   0.868
46B   0.858
47A   0.738
47B   0.867
48A   1.210
48B   0.931
49A   0.981
49B   1.023
50A   0.964
50B   0.912
51A -99.999
51B -99.999
52A   0.430
52B   0.394
53A   0.704
53B   0.566
54A   0.760
54B   0.880
55A   0.931
55B   0.771
56A   0.992
56B   1.031
57A   0.430
57B   0.270
58A   0.789
58B   0.907
59A   0.997
59B   1.208
60A   0.347
60B   0.274
61A   0.300
61B   0.298
62A   0.322
62B   0.313
63A   0.356
63B   0.430
64A   1.028
64B   0.781
65A   0.932
65B   0.948
66A   0.869
66B   0.914
67A   0.772
67B   1.019
68A   0.463
68B   0.360
69A   0.244
69B   0.240
70A   0.445
70B   0.638
71A   0.956
71B   1.037
72A   0.737
72B   0.649
73A   0.790
73B   0.831
74A   0.795
74B   0.880
75A   0.244
75B   0.387
76A   0.281
76B   0.338
77A   0.746
77B   0.557
78A   0.625
78B   0.535
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
