"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2021-04-12 12:10:09","106.80 ± 1.00","190.33","-59.3","94.50 ± 1.00","107.30 ± 1.00"
"2021-04-12 00:10:10","107.20 ± 1.00","190.33","-61.3","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-11 12:10:07","107.67 ± 1.00","187.00","-66.1","93.73 ± 1.00","108.07 ± 1.00"
"2021-04-11 00:10:09","107.63 ± 1.00","189.00","-63.4","94.32 ± 1.00","107.48 ± 1.00"
"2021-04-10 12:10:09","106.73 ± 1.00","185.67","-63.0","93.61 ± 1.00","108.19 ± 1.00"
"2021-04-10 00:10:09","106.77 ± 1.00","186.33","-58.8","94.58 ± 1.00","107.22 ± 1.00"
"2021-04-09 12:10:10","99.57 ± 1.00","192.67","-58.7","88.21 ± 1.00","113.59 ± 1.00"
"2021-04-09 00:10:10","90.93 ± 1.00","193.33","-62.5","79.86 ± 1.00","121.94 ± 1.00"
"2021-04-08 12:10:09","107.60 ± 1.00","190.67","-62.3","94.55 ± 1.00","107.25 ± 1.00"
"2021-04-08 00:10:09","108.10 ± 1.00","189.33","-68.1","93.66 ± 1.00","108.14 ± 1.00"
"2021-04-07 12:10:09","109.03 ± 1.00","184.67","-68.3","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-07 00:10:09","108.50 ± 1.00","190.00","-66.0","94.48 ± 1.00","107.32 ± 1.00"
"2021-04-06 12:10:09","108.27 ± 1.00","193.00","-64.8","94.56 ± 1.00","107.24 ± 1.00"
"2021-04-06 00:10:10","108.23 ± 1.00","189.67","-63.9","94.74 ± 1.00","107.06 ± 1.00"
"2021-04-05 12:10:10","106.80 ± 1.00","186.00","-61.9","93.92 ± 1.00","107.88 ± 1.00"
"2021-04-05 00:10:09","106.33 ± 1.00","192.67","-57.8","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-04 12:10:09","105.73 ± 1.00","189.33","-55.5","94.39 ± 1.00","107.41 ± 1.00"
"2021-04-04 00:10:09","105.97 ± 1.00","184.33","-55.4","94.62 ± 1.00","107.18 ± 1.00"
"2021-04-03 12:10:10","105.27 ± 1.00","188.67","-54.2","94.25 ± 1.00","107.55 ± 1.00"
"2021-04-03 00:10:09","106.20 ± 1.00","192.00","-60.4","93.73 ± 1.00","108.07 ± 1.00"
"2021-04-02 12:10:09","105.60 ± 1.00","184.67","-57.2","93.89 ± 1.00","107.91 ± 1.00"
"2021-04-02 00:10:07","104.73 ± 1.00","174.67","-50.8","94.49 ± 1.00","107.31 ± 1.00"
"2021-04-01 12:10:09","104.00 ± 1.00","172.67","-47.3","94.56 ± 1.00","107.24 ± 1.00"
